Age,Gender,Item Purchased,Category,Season,Review Rating,cluster
38,Male,Gloves,Accessories,Summer,2.8,2
58,Male,Skirt,Clothing,Spring,3.6,0
32,Male,Sneakers,Footwear,Spring,3.0,2
46,Male,T-shirt,Clothing,Summer,4.5,3
39,Male,Backpack,Accessories,Summer,2.9,2
19,Male,Shoes,Footwear,Spring,3.3,1
50,Male,Hoodie,Clothing,Spring,3.1,3
36,Male,Blouse,Clothing,Fall,4.4,2
65,Male,Coat,Outerwear,Fall,3.0,0
64,Male,Hat,Accessories,Fall,3.9,0
46,Male,Shoes,Footwear,Summer,2.9,3
36,Male,Belt,Accessories,Fall,3.0,2
51,Male,Backpack,Accessories,Spring,3.1,3
51,Male,Jacket,Outerwear,Fall,4.3,3
38,Male,Boots,Footwear,Summer,3.9,2
59,Male,Scarf,Accessories,Fall,3.2,0
57,Male,Jewelry,Accessories,Winter,4.8,3
54,Male,Hat,Accessories,Summer,3.8,3
25,Male,Dress,Clothing,Summer,3.3,1
69,Male,Blouse,Clothing,Fall,4.3,0
57,Male,Hat,Accessories,Spring,2.7,3
70,Male,Scarf,Accessories,Fall,3.2,0
24,Male,Sneakers,Footwear,Fall,4.0,1
67,Male,Shirt,Clothing,Winter,3.0,0
24,Male,T-shirt,Clothing,Summer,4.2,1
62,Male,Gloves,Accessories,Summer,2.9,0
57,Male,Skirt,Clothing,Spring,4.1,3
55,Male,Sandals,Footwear,Winter,3.2,3
45,Male,Jacket,Outerwear,Fall,3.0,3
69,Male,Skirt,Clothing,Fall,4.2,0
67,Male,Handbag,Accessories,Fall,4.2,0
30,Male,Handbag,Accessories,Fall,4.4,1
24,Male,Jacket,Outerwear,Summer,4.2,1
62,Male,Scarf,Accessories,Spring,2.8,0
43,Male,Shorts,Clothing,Spring,3.7,2
35,Male,Sunglasses,Accessories,Winter,3.5,2
28,Male,T-shirt,Clothing,Spring,2.9,1
32,Male,Belt,Accessories,Spring,3.0,2
39,Male,Sneakers,Footwear,Spring,3.7,2
28,Male,Hat,Accessories,Summer,4.4,1
47,Male,Gloves,Accessories,Spring,4.5,3
20,Male,Pants,Clothing,Spring,4.8,1
63,Male,Socks,Clothing,Summer,2.9,0
25,Male,Jacket,Outerwear,Spring,3.2,1
29,Male,Shoes,Footwear,Spring,3.3,1
50,Male,Jeans,Clothing,Winter,4.2,3
18,Male,Socks,Clothing,Spring,2.9,1
70,Male,Sandals,Footwear,Spring,4.6,0
66,Male,Scarf,Accessories,Fall,4.1,0
28,Male,Blouse,Clothing,Spring,3.1,1
54,Male,Jewelry,Accessories,Winter,4.2,3
19,Male,Sweater,Clothing,Fall,4.5,1
20,Male,Gloves,Accessories,Summer,3.7,1
43,Male,Sunglasses,Accessories,Winter,3.7,2
38,Male,Coat,Outerwear,Winter,3.4,2
50,Male,Dress,Clothing,Summer,3.0,3
64,Male,Skirt,Clothing,Fall,4.2,0
49,Male,Pants,Clothing,Summer,2.9,3
47,Male,Sweater,Clothing,Winter,3.5,3
36,Male,Hoodie,Clothing,Winter,4.1,2
55,Male,Coat,Outerwear,Summer,4.3,3
25,Male,Jewelry,Accessories,Winter,2.8,1
53,Male,Belt,Accessories,Spring,4.9,3
49,Male,Sandals,Footwear,Summer,3.3,3
35,Male,Sunglasses,Accessories,Spring,3.2,2
29,Male,Sweater,Clothing,Spring,4.4,1
47,Male,Belt,Accessories,Winter,4.8,3
53,Male,Handbag,Accessories,Fall,4.2,3
33,Male,Skirt,Clothing,Fall,4.0,2
21,Male,Handbag,Accessories,Winter,2.5,1
32,Male,Shorts,Clothing,Summer,3.9,2
52,Male,Boots,Footwear,Winter,4.9,3
67,Male,Sunglasses,Accessories,Winter,3.5,0
43,Male,Scarf,Accessories,Spring,4.2,2
58,Male,Jewelry,Accessories,Spring,4.7,0
20,Male,Handbag,Accessories,Summer,4.5,1
61,Male,Gloves,Accessories,Spring,2.8,0
32,Male,Jeans,Clothing,Fall,2.9,2
38,Male,Hat,Accessories,Winter,3.2,2
21,Male,Jeans,Clothing,Winter,4.9,1
37,Male,Pants,Clothing,Summer,3.7,2
27,Male,Shorts,Clothing,Summer,4.3,1
36,Male,Pants,Clothing,Fall,3.9,2
32,Male,Backpack,Accessories,Spring,3.2,2
51,Male,Jewelry,Accessories,Summer,3.1,3
64,Male,Sweater,Clothing,Spring,3.9,0
68,Male,Shoes,Footwear,Spring,2.6,0
68,Male,Blouse,Clothing,Winter,3.3,0
33,Male,Jeans,Clothing,Fall,4.6,2
65,Male,Sunglasses,Accessories,Summer,4.6,0
48,Male,Jewelry,Accessories,Summer,4.4,3
69,Male,Coat,Outerwear,Spring,4.2,0
59,Male,Jewelry,Accessories,Spring,3.0,0
48,Male,Backpack,Accessories,Winter,4.0,3
25,Male,Skirt,Clothing,Fall,3.5,1
29,Male,Shirt,Clothing,Winter,3.0,1
57,Male,Sweater,Clothing,Spring,3.7,3
23,Male,Sneakers,Footwear,Summer,4.0,1
45,Male,Sandals,Footwear,Fall,4.2,3
38,Male,Belt,Accessories,Spring,2.5,2
21,Male,Skirt,Clothing,Summer,3.0,1
32,Male,Sweater,Clothing,Fall,3.2,2
63,Male,Skirt,Clothing,Summer,3.5,0
29,Male,Handbag,Accessories,Summer,4.8,1
27,Male,Jewelry,Accessories,Summer,2.6,1
56,Male,Scarf,Accessories,Spring,3.4,3
30,Male,T-shirt,Clothing,Winter,3.7,1
49,Male,Coat,Outerwear,Fall,4.5,3
58,Male,T-shirt,Clothing,Winter,3.7,0
57,Male,Dress,Clothing,Fall,3.3,3
60,Male,Shoes,Footwear,Spring,4.7,0
69,Male,Handbag,Accessories,Spring,2.7,0
70,Male,Skirt,Clothing,Spring,4.6,0
53,Male,Sunglasses,Accessories,Winter,2.7,3
25,Male,Sandals,Footwear,Spring,4.8,1
48,Male,Shoes,Footwear,Summer,4.4,3
69,Male,T-shirt,Clothing,Winter,4.0,0
25,Male,Sneakers,Footwear,Summer,3.2,1
29,Male,Hat,Accessories,Spring,4.4,1
46,Male,Skirt,Clothing,Spring,3.8,3
37,Male,Sweater,Clothing,Summer,3.6,2
20,Male,Sandals,Footwear,Summer,3.3,1
40,Male,Dress,Clothing,Winter,3.4,2
60,Male,Sweater,Clothing,Fall,3.5,0
26,Male,Jacket,Outerwear,Summer,3.6,1
29,Male,Gloves,Accessories,Winter,3.2,1
66,Male,Handbag,Accessories,Fall,3.7,0
66,Male,Dress,Clothing,Spring,4.5,0
56,Male,Pants,Clothing,Winter,4.6,3
69,Male,Jeans,Clothing,Winter,4.1,0
38,Male,Pants,Clothing,Spring,3.4,2
42,Male,Dress,Clothing,Spring,3.7,2
30,Male,Pants,Clothing,Summer,3.3,1
66,Male,Jewelry,Accessories,Spring,4.5,0
36,Male,Handbag,Accessories,Fall,3.3,2
58,Male,Sweater,Clothing,Fall,4.3,0
45,Male,Backpack,Accessories,Winter,2.5,3
47,Male,Shorts,Clothing,Spring,2.6,3
66,Male,Jewelry,Accessories,Summer,4.9,0
41,Male,Sneakers,Footwear,Summer,4.7,2
41,Male,Belt,Accessories,Winter,3.0,2
66,Male,Hoodie,Clothing,Winter,3.5,0
37,Male,Shirt,Clothing,Summer,4.8,2
70,Male,Pants,Clothing,Winter,4.3,0
62,Male,Scarf,Accessories,Fall,3.2,0
61,Male,Coat,Outerwear,Summer,3.1,0
48,Male,Coat,Outerwear,Fall,2.8,3
70,Male,Socks,Clothing,Summer,2.9,0
46,Male,Sweater,Clothing,Winter,3.7,3
31,Male,Shirt,Clothing,Fall,3.3,1
19,Male,Shirt,Clothing,Winter,2.8,1
39,Male,Sweater,Clothing,Winter,4.5,2
41,Male,Blouse,Clothing,Fall,2.6,2
20,Male,Sweater,Clothing,Spring,3.7,1
36,Male,Hat,Accessories,Fall,4.4,2
32,Male,Sweater,Clothing,Winter,4.3,2
69,Male,Hoodie,Clothing,Winter,3.5,0
40,Male,Shorts,Clothing,Spring,3.8,2
40,Male,Shorts,Clothing,Summer,3.5,2
20,Male,Hat,Accessories,Summer,4.6,1
64,Male,Coat,Outerwear,Spring,2.6,0
27,Male,Sandals,Footwear,Summer,4.4,1
24,Male,Skirt,Clothing,Winter,4.0,1
48,Male,Shoes,Footwear,Winter,4.4,3
49,Male,Jeans,Clothing,Spring,4.7,3
36,Male,Sandals,Footwear,Fall,3.9,2
56,Male,Blouse,Clothing,Fall,2.7,3
37,Male,Hat,Accessories,Winter,3.7,2
42,Male,Sweater,Clothing,Spring,2.6,2
28,Male,Skirt,Clothing,Winter,3.9,1
27,Male,Jeans,Clothing,Fall,4.9,1
63,Male,Sneakers,Footwear,Fall,4.1,0
58,Male,Jewelry,Accessories,Fall,3.0,0
37,Male,Jewelry,Accessories,Fall,4.1,2
56,Male,Pants,Clothing,Spring,3.8,3
18,Male,Belt,Accessories,Spring,4.0,1
48,Male,Hat,Accessories,Summer,3.6,3
31,Male,Sneakers,Footwear,Winter,3.0,1
51,Male,Pants,Clothing,Summer,3.0,3
65,Male,T-shirt,Clothing,Spring,2.6,0
53,Male,Sneakers,Footwear,Fall,3.4,3
55,Male,Shorts,Clothing,Winter,3.1,3
62,Male,Shoes,Footwear,Summer,3.0,0
55,Male,Gloves,Accessories,Summer,3.7,3
64,Male,Socks,Clothing,Spring,3.5,0
52,Male,Dress,Clothing,Spring,2.8,3
24,Male,Handbag,Accessories,Spring,4.5,1
38,Male,Belt,Accessories,Summer,3.3,2
59,Male,Scarf,Accessories,Winter,3.4,0
27,Male,Sneakers,Footwear,Winter,3.2,1
24,Male,Sweater,Clothing,Summer,3.7,1
23,Male,Coat,Outerwear,Summer,4.6,1
69,Male,Jewelry,Accessories,Spring,5.0,0
59,Male,Sunglasses,Accessories,Summer,4.4,0
51,Male,Shoes,Footwear,Fall,4.9,3
63,Male,Scarf,Accessories,Spring,4.1,0
54,Male,Dress,Clothing,Winter,4.9,3
32,Male,T-shirt,Clothing,Fall,4.7,2
39,Male,Backpack,Accessories,Fall,3.0,2
66,Male,Jewelry,Accessories,Winter,3.4,0
28,Male,Jeans,Clothing,Winter,3.2,1
50,Male,Sunglasses,Accessories,Fall,2.9,3
70,Male,Sweater,Clothing,Fall,4.5,0
67,Male,Shorts,Clothing,Fall,2.7,0
64,Male,Jewelry,Accessories,Spring,3.4,0
45,Male,Coat,Outerwear,Summer,4.6,3
22,Male,Handbag,Accessories,Summer,2.7,1
27,Male,Boots,Footwear,Spring,4.2,1
25,Male,Gloves,Accessories,Winter,3.2,1
37,Male,Sweater,Clothing,Spring,4.8,2
26,Male,T-shirt,Clothing,Spring,3.3,1
33,Male,Shoes,Footwear,Fall,4.2,2
43,Male,Scarf,Accessories,Spring,4.8,2
37,Male,Sneakers,Footwear,Winter,4.9,2
46,Male,Dress,Clothing,Fall,3.9,3
22,Male,Belt,Accessories,Fall,3.0,1
20,Male,Boots,Footwear,Winter,4.6,1
60,Male,Scarf,Accessories,Fall,3.5,0
39,Male,Boots,Footwear,Winter,4.8,2
43,Male,T-shirt,Clothing,Fall,4.8,2
31,Male,Backpack,Accessories,Fall,3.0,1
19,Male,Sneakers,Footwear,Winter,4.5,1
35,Male,T-shirt,Clothing,Spring,4.8,2
41,Male,Jeans,Clothing,Summer,3.8,2
52,Male,Gloves,Accessories,Spring,4.6,3
45,Male,Hoodie,Clothing,Spring,3.1,3
34,Male,Sneakers,Footwear,Spring,3.4,2
35,Male,Shorts,Clothing,Winter,3.3,2
29,Male,Sweater,Clothing,Spring,4.8,1
59,Male,Jeans,Clothing,Summer,2.8,0
24,Male,Jacket,Outerwear,Summer,3.1,1
70,Male,Jewelry,Accessories,Summer,4.6,0
29,Male,Backpack,Accessories,Winter,2.6,1
67,Male,Coat,Outerwear,Winter,2.6,0
36,Male,Belt,Accessories,Spring,3.8,2
23,Male,Sandals,Footwear,Fall,4.5,1
18,Male,Sweater,Clothing,Spring,3.0,1
53,Male,Shorts,Clothing,Winter,3.5,3
32,Male,Socks,Clothing,Spring,3.8,2
38,Male,Shirt,Clothing,Winter,3.5,2
47,Male,Pants,Clothing,Fall,3.1,3
46,Male,Scarf,Accessories,Spring,3.0,3
66,Male,Sweater,Clothing,Winter,4.3,0
40,Male,Jeans,Clothing,Winter,3.3,2
43,Male,Pants,Clothing,Winter,4.7,2
58,Male,Backpack,Accessories,Winter,4.5,0
21,Male,Coat,Outerwear,Winter,2.9,1
42,Male,Sandals,Footwear,Winter,4.1,2
24,Male,Shirt,Clothing,Summer,3.5,1
43,Male,Hat,Accessories,Winter,3.4,2
47,Male,Shirt,Clothing,Fall,3.3,3
49,Male,Skirt,Clothing,Fall,3.2,3
50,Male,Shoes,Footwear,Spring,4.0,3
51,Male,Coat,Outerwear,Winter,3.6,3
40,Male,Pants,Clothing,Summer,4.6,2
45,Male,Jewelry,Accessories,Summer,2.6,3
52,Male,Belt,Accessories,Winter,4.3,3
62,Male,Jacket,Outerwear,Summer,3.4,0
20,Male,Shirt,Clothing,Winter,3.5,1
43,Male,Hoodie,Clothing,Winter,4.2,2
29,Male,Sunglasses,Accessories,Fall,3.5,1
22,Male,Sunglasses,Accessories,Summer,3.6,1
48,Male,Dress,Clothing,Summer,4.3,3
42,Male,Boots,Footwear,Fall,4.9,2
19,Male,Shirt,Clothing,Summer,4.1,1
60,Male,Shorts,Clothing,Spring,3.6,0
32,Male,Gloves,Accessories,Summer,3.4,2
26,Male,Jewelry,Accessories,Summer,2.9,1
25,Male,Boots,Footwear,Summer,2.7,1
66,Male,Jewelry,Accessories,Summer,4.3,0
45,Male,Pants,Clothing,Summer,3.3,3
54,Male,Jewelry,Accessories,Winter,2.8,3
37,Male,Jacket,Outerwear,Summer,3.2,2
54,Male,Blouse,Clothing,Fall,3.6,3
50,Male,Blouse,Clothing,Fall,4.0,3
25,Male,Gloves,Accessories,Spring,4.9,1
47,Male,Shorts,Clothing,Winter,4.0,3
63,Male,Hat,Accessories,Winter,3.8,0
64,Male,Shoes,Footwear,Summer,3.7,0
18,Male,Boots,Footwear,Winter,3.9,1
59,Male,Jacket,Outerwear,Fall,3.3,0
37,Male,Jewelry,Accessories,Summer,2.7,2
23,Male,Sunglasses,Accessories,Winter,4.7,1
54,Male,Skirt,Clothing,Summer,2.8,3
38,Male,Jeans,Clothing,Winter,4.6,2
19,Male,Backpack,Accessories,Spring,4.5,1
34,Male,Backpack,Accessories,Fall,5.0,2
21,Male,Shorts,Clothing,Fall,4.1,1
50,Male,Dress,Clothing,Summer,4.6,3
55,Male,Scarf,Accessories,Winter,4.9,3
20,Male,Jeans,Clothing,Winter,3.9,1
34,Male,Coat,Outerwear,Spring,3.9,2
62,Male,Sweater,Clothing,Summer,2.6,0
21,Male,Sneakers,Footwear,Summer,2.7,1
21,Male,Scarf,Accessories,Spring,3.5,1
42,Male,Sweater,Clothing,Summer,3.7,2
35,Male,Jewelry,Accessories,Winter,3.2,2
39,Male,Handbag,Accessories,Winter,3.3,2
68,Male,Hoodie,Clothing,Summer,4.8,0
46,Male,Hat,Accessories,Fall,3.2,3
41,Male,Belt,Accessories,Winter,2.5,2
23,Male,Hoodie,Clothing,Fall,3.9,1
68,Male,Hat,Accessories,Summer,4.7,0
48,Male,Shoes,Footwear,Spring,2.6,3
38,Male,Sandals,Footwear,Fall,2.8,2
41,Male,Jacket,Outerwear,Winter,4.4,2
58,Male,Sweater,Clothing,Spring,4.6,0
49,Male,Socks,Clothing,Summer,3.2,3
57,Male,Sneakers,Footwear,Winter,4.2,3
49,Male,Coat,Outerwear,Summer,3.7,3
50,Male,Shirt,Clothing,Fall,3.9,3
28,Male,Backpack,Accessories,Summer,4.7,1
38,Male,Boots,Footwear,Winter,4.5,2
33,Male,Handbag,Accessories,Fall,3.3,2
30,Male,Dress,Clothing,Fall,3.3,1
43,Male,Sneakers,Footwear,Winter,4.6,2
43,Male,Boots,Footwear,Spring,3.6,2
36,Male,Shoes,Footwear,Winter,4.8,2
36,Male,T-shirt,Clothing,Fall,4.8,2
64,Male,Boots,Footwear,Spring,2.9,0
59,Male,Pants,Clothing,Fall,2.8,0
55,Male,Shoes,Footwear,Summer,3.2,3
42,Male,Shoes,Footwear,Winter,3.9,2
61,Male,T-shirt,Clothing,Spring,4.3,0
28,Male,Scarf,Accessories,Fall,2.7,1
65,Male,Shorts,Clothing,Spring,5.0,0
27,Male,Jewelry,Accessories,Winter,3.7,1
41,Male,T-shirt,Clothing,Summer,3.9,2
21,Male,Shirt,Clothing,Fall,3.9,1
61,Male,Shirt,Clothing,Fall,3.1,0
19,Male,Gloves,Accessories,Winter,3.3,1
22,Male,Scarf,Accessories,Fall,3.6,1
64,Male,Skirt,Clothing,Winter,4.3,0
28,Male,Hat,Accessories,Spring,4.5,1
34,Male,Hoodie,Clothing,Fall,2.8,2
61,Male,Boots,Footwear,Fall,2.7,0
24,Male,Blouse,Clothing,Fall,2.9,1
19,Male,Belt,Accessories,Summer,4.4,1
51,Male,Sunglasses,Accessories,Spring,3.9,3
36,Male,Shorts,Clothing,Winter,3.5,2
65,Male,Gloves,Accessories,Spring,2.5,0
46,Male,Sandals,Footwear,Spring,4.9,3
59,Male,Shirt,Clothing,Summer,4.8,0
51,Male,Coat,Outerwear,Spring,3.2,3
51,Male,Pants,Clothing,Winter,4.9,3
21,Male,T-shirt,Clothing,Winter,4.3,1
34,Male,Sneakers,Footwear,Winter,3.2,2
32,Male,Shorts,Clothing,Fall,3.7,2
48,Male,Coat,Outerwear,Winter,3.2,3
50,Male,Sandals,Footwear,Fall,3.4,3
26,Male,Pants,Clothing,Winter,4.1,1
57,Male,Sandals,Footwear,Spring,4.5,3
65,Male,Gloves,Accessories,Fall,4.5,0
56,Male,T-shirt,Clothing,Spring,3.2,3
44,Male,Jacket,Outerwear,Fall,4.4,2
50,Male,Blouse,Clothing,Summer,3.0,3
27,Male,Socks,Clothing,Spring,3.2,1
49,Male,Coat,Outerwear,Winter,4.0,3
49,Male,Dress,Clothing,Spring,3.1,3
52,Male,Jacket,Outerwear,Fall,2.8,3
27,Male,Boots,Footwear,Spring,4.6,1
53,Male,Skirt,Clothing,Spring,4.3,3
34,Male,Sandals,Footwear,Summer,3.3,2
33,Male,Coat,Outerwear,Summer,3.5,2
62,Male,Hoodie,Clothing,Winter,3.4,0
38,Male,Jacket,Outerwear,Winter,2.8,2
36,Male,Backpack,Accessories,Winter,4.6,2
31,Male,Backpack,Accessories,Fall,3.6,1
62,Male,Belt,Accessories,Summer,3.3,0
29,Male,Coat,Outerwear,Fall,3.1,1
24,Male,T-shirt,Clothing,Fall,3.5,1
63,Male,Sunglasses,Accessories,Winter,3.2,0
56,Male,Sneakers,Footwear,Summer,3.0,3
63,Male,Gloves,Accessories,Fall,4.8,0
